,Date,BC_Zone,Elev,Asp,Type,Trigger,Rsize,Dsize,Avg_Slope_Angle,Start_Zone_Elev,Start_Zone_Elev_units,Sliding_Sfc,Weak_Layer,Weak_Layer_Type,Avg_Width,Max_Width,Width_units,av_bol
1789,2021/01/27,Vail & Summit County,>TL,SE,,N,R3,D2.5,,,,,,,,,,1
1794,2021/01/26,Northern San Juan,TL,NE,,N,R3,D2.5,,12000.0,ft,,,,200.0,,ft,1
1795,2021/01/26,Northern San Juan,>TL,N,,N,R3,D2.5,,12200.0,ft,,,,,,,1
1798,2021/01/26,Southern San Juan,TL,N,SS,U,R3,D2,,,,O,Layer,Faceted Crystals,,,,1
1806,2021/01/26,Northern San Juan,>TL,NE,SS,N,R3,D2.5,,,,O,Layer,Faceted Crystals,,,,1
1810,2021/01/26,Southern San Juan,TL,E,SS,N,R3,D2,,,,O,Layer,Faceted Crystals,,,,1
1815,2021/01/26,Southern San Juan,TL,E,,AA,R3,D2.5,,,,,,,,,,1
1818,2021/01/26,Southern San Juan,<TL,SE,SS,N,R3,D2,,,,,,,,,,1
1894,2021/01/24,Front Range,>TL,E,HS,N,R3,D2.5,,,,G,,,,,,1
1934,2021/01/18,Front Range,<TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
1961,2021/01/14,Front Range,<TL,N,HS,N,R3,D2,,,,,,,,,,1
1974,2021/01/14,Front Range,>TL,E,HS,N,R3,D2.5,,12000.0,ft,O,Layer,Faceted Crystals,800.0,,ft,1
1975,2021/01/14,Vail & Summit County,>TL,SE,,N,R3,D2,,,,,,,,,,1
1988,2021/01/09,Northern San Juan,>TL,N,HS,AS,R3,D2,,,,,,,,,,1
1993,2021/01/08,Front Range,>TL,E,HS,AM,R4,D3,36.0,12600.0,ft,O,Layer,Faceted Crystals,550.0,,ft,1
1995,2021/01/08,Vail & Summit County,TL,SE,SS,AR,R3,D2.5,,12000.0,ft,,,,,,,1
2008,2021/01/07,Vail & Summit County,>TL,NE,HS,U,R3,D2,,,,,,,,,,1
2026,2021/01/06,Vail & Summit County,<TL,E,SS,AS,R3,D1,,,,,,,,,,1
2031,2021/01/06,Front Range,TL,E,SS,AS,R4,D2,,,,,,,,,,1
2044,2021/01/06,Aspen,>TL,E,SS,N,R3,D2,,12700.0,ft,O,Layer,Faceted Crystals,,6864.0,ft,1
2090,2021/01/02,Front Range,TL,E,HS,U,R3,D1.5,,,,,,,,,,1
2095,2021/01/02,Front Range,TL,E,SS,AS,R3,D2.5,35.0,,,,,,400.0,,ft,1
2104,2021/01/01,Front Range,>TL,E,,,R3,D2.5,,,,,,,400.0,,ft,1
2184,2020/12/30,Gunnison,>TL,NE,SS,N,R3,D2.5,,,,O,,,,,,1
2220,2020/12/30,Southern San Juan,TL,E,SS,AA,R3,D2.5,,,,,,,,,,1
2231,2020/12/29,Northern San Juan,<TL,NE,SS,AE,R4,D2,40.0,10400.0,ft,O,Layer,Faceted Crystals,200.0,200.0,ft,1
2238,2020/12/29,Northern San Juan,>TL,N,SS,N,R3,D2,,12200.0,ft,,,,50.0,,ft,1
2309,2020/12/29,Northern San Juan,TL,N,SS,N,R3,D2,,,,,,,,,,1
2391,2020/12/25,Front Range,>TL,E,,U,R3,D2.5,,,,,,,,,,1
2405,2020/12/24,Vail & Summit County,>TL,SE,SS,N,R3,D2,,,,,,,,,,1
2420,2020/12/22,Front Range,>TL,SE,HS,AS,R4,D2,,,,,,,,,,1
2432,2020/12/22,Front Range,TL,E,HS,N,R4,D2.5,,,,,,,,,,1
2442,2020/12/21,Gunnison,>TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
2468,2020/12/20,Northern San Juan,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
2491,2020/12/19,Northern San Juan,>TL,SE,SS,N,R3,D3,,,,,,,,,,1
2492,2020/12/19,Northern San Juan,>TL,E,SS,N,R3,D2,,,,,,,,,,1
2495,2020/12/19,Northern San Juan,<TL,W,SS,AS,R3,D1,,,,O,,,,5.0,m,1
2498,2020/12/19,Southern San Juan,TL,N,SS,AS,R3,D2,,,,O,Interface,Faceted Crystals,,,,1
2549,2020/12/18,Northern San Juan,<TL,NE,SS,N,R3,D1.5,45.0,11200.0,ft,O,Layer,Faceted Crystals,100.0,300.0,ft,1
2566,2020/12/18,Front Range,>TL,NE,HS,AS,R3,D2,,12200.0,ft,G,,,,,,1
2591,2020/12/16,Front Range,>TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
2592,2020/12/16,Front Range,>TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
2593,2020/12/16,Front Range,>TL,N,SS,AX,R3,D2,,,,,,,,,,1
2594,2020/12/16,Front Range,TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
2613,2020/12/15,Southern San Juan,>TL,E,SS,N,R3,D2,,,,I,,,,,,1
2723,2020/12/13,Southern San Juan,<TL,SE,SS,N,R3,D1,,,,,,,,,,1
2766,2020/12/12,Southern San Juan,<TL,E,SS,N,R3,D1,,,,,,,,,,1
2780,2020/12/11,Gunnison,TL,NE,SS,N,R3,D2.5,,11300.0,ft,O,Layer,Faceted Crystals,,,,1
2853,2020/11/24,Front Range,<TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
2914,2020/05/18,Vail & Summit County,>TL,NW,WS,N,R3,D2,,,,,,,,,,1
2942,2020/05/05,Front Range,TL,NW,WL,N,R3,D1,,,,,,,,,,1
2943,2020/05/05,Front Range,TL,NW,WS,N,R3,D2,,,,,,,,,,1
2944,2020/05/05,Front Range,>TL,NW,WS,N,R3,D2,,,,,,,,,,1
2960,2020/05/03,Front Range,>TL,NW,HS,N,R3,D2,,,,,,,,,,1
2984,2020/05/01,Vail & Summit County,TL,NW,WL,N,R3,D2,,,,,,,,,,1
3136,2020/04/17,Front Range,>TL,SE,HS,N,R3,D2.5,,,,,,,,,,1
3137,2020/04/17,Front Range,>TL,SE,HS,AX,R4,D3,,,,,,,,,,1
3138,2020/04/16,Front Range,>TL,NW,SS,AX,R3,D1.5,,,,,,,,,,1
3146,2020/04/16,Front Range,TL,N,SS,AX,R3,D1,,,,,,,,,,1
3147,2020/04/16,Front Range,>TL,N,SS,AX,R4,D2.5,,,,,,,,,,1
3148,2020/04/16,Front Range,<TL,N,SS,AX,R3,D2,,,,,,,,,,1
3149,2020/04/16,Front Range,>TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
3150,2020/04/16,Front Range,<TL,N,SS,AX,R3,D2,,,,,,,,,,1
3166,2020/04/15,Front Range,>TL,SE,SS,AR,R3,D2,,,,,,,150.0,,m,1
3189,2020/04/10,Northern San Juan,TL,NW,WS,N,R3,D2,,,,,,,,,,1
3213,2020/04/09,Northern San Juan,>TL,SE,WS,N,R3,D2,,,,I,,,,,,1
3276,2020/04/07,Northern San Juan,<TL,N,C,AE,R3,D1.5,,10200.0,ft,,,,40.0,40.0,ft,1
3278,2020/04/07,Southern San Juan,>TL,E,C,N,R3,D2,,12000.0,ft,,,,700.0,,ft,1
3330,2020/04/04,Southern San Juan,<TL,SE,WS,AS,R3,D2,40.0,11000.0,ft,I,,,200.0,,ft,1
3338,2020/04/02,Southern San Juan,TL,NE,HS,N,R3,D2,,11500.0,ft,,,,,,,1
3342,2020/04/01,Southern San Juan,>TL,NE,C,N,R3,D2.5,,,,O,Layer,Faceted Crystals,,1000.0,ft,1
